|GJ 4033         |HIP 87822    |17 56 24.29|-65 43 18.3|2MASS J17562432-6543184| 5.572| 5.366| 5.286|
|Gl 31.5         |Wo 9028      |00 44 39.27|-65 38 58.3|2MASS J00443925-6538581| 5.366| 5.101| 4.945|
|Gl 774 A        |             |20 04 04.74|-65 36 01.3|2MASS J20040474-6536016| 7.796| 7.284| 7.057|
|Gl 774 B        |             |20 04 01.95|-65 35 58.3|2MASS J20040195-6535586| 8.871| 8.378| 8.129|
|GJ 4273         |HIP 110400   |22 21 42.91|-65 31 33.0|2MASS J22214293-6531330| 8.450| 7.877| 7.644|
|Gl 865          |Wo 9791      |22 38 29.75|-65 22 42.6|2MASS J22382974-6522423| 7.271| 6.721| 6.428|
|Gl 827          |HIP 105858   |21 26 26.61|-65 21 58.3|2MASS J21262662-6521578| 3.340| 2.992| 2.969|
|Wo 9206         |HIP 29322    |06 10 59.87|-65 12 20.8|2MASS J06105984-6512200| 8.250| 7.644| 7.416|
|Gl 560 B        |             |14 42 28.62|-64 58 41.3|2MASS J14422861-6458413| 6.241| 5.690| 5.514|
|Gl 560 A        |HIP 71908    |14 42 30.42|-64 58 30.5|2MASS J14423039-6458305| 2.544| 2.471| 2.425|
|Gl 17           |HIP 1599     |00 20 04.26|-64 52 29.3|2MASS J00200446-6452282| 3.068| 2.738| 2.769|
|Gl 440          |HIP 57367    |11 45 42.92|-64 50 29.5|2MASS J11454297-6450297|11.188|11.130|11.104|
|Wo 9134         |HIP 17748    |03 48 01.12|-64 50 11.7|2MASS J03480111-6450117| 6.630| 6.314| 6.241|
|Gl 154.2        |Wo 9129      |03 44 11.98|-64 48 24.8|2MASS J03441195-6448248| 1.937| 1.374| 1.279|
|Gl 54.3         |Wo 9047      |01 14 40.46|-64 45 51.1|2MASS J01144046-6445510| 7.711| 7.352| 7.253|
|Gl 455.2        |Wo 9388      |12 06 52.90|-64 36 49.4|2MASS J12065290-6436494| 3.446| 3.229| 3.197|
|Gl 639.2        |Wo 9580      |16 51 42.60|-64 26 24.7|2MASS J16514257-6426247| 9.513| 9.090| 8.997|
|Gl 162.1        |HIP 19233    |04 07 21.54|-64 13 20.2|2MASS J04072154-6413209| 5.202| 4.946| 4.773|
|Wo 9156         |HIP 20625    |04 25 09.15|-64 04 48.3|2MASS J04250916-6404486| 6.717| 6.451| 6.315|
|GJ 3663         |HIP 55779    |11 25 43.15|-63 58 20.9|2MASS J11254313-6358208| 4.619| 4.191| 4.187|
|GJ 4206         |HIP 106803   |21 37 55.66|-63 42 43.0|2MASS J21375567-6342430| 7.509| 6.823| 6.642|
|Gl 118          |HIP 13389    |02 52 22.17|-63 40 47.4|2MASS J02522213-6340475| 7.671| 7.115| 6.829|
|Gl 143          |HIP 16069    |03 26 59.23|-63 29 56.8|2MASS J03265922-6329569| 6.081| 5.524| 5.375|
|Gl 601 B        |             |15 54 43.44|-63 26 15.5|                       |      |      |      |
|Gl 601 A        |HIP 77952    |15 55 08.56|-63 25 50.6|2MASS J15550857-6325507| 2.230| 2.209| 2.152|
|Gl 268.2        |Wo 9226      |07 13 07.09|-63 20 41.8|2MASS J07130711-6320418| 6.748| 6.150| 5.990|
|GJ 4293         |HIP 112452   |22 46 45.13|-63 18 05.3|2MASS J22464517-6318053| 8.289| 7.713| 7.450|
